,PlayerId,Name,Team,Catcher,First Base,Second Base,Third Base,Shortstop,Left Field,Center Field,Right Field,Designated Hitter,H,AB,R,2B,3B,HR,XBH,RBI,BB,SB,AVG,OBP,SLG
37,2432,Tyler Flowers,CWS,1,,,,,,,,,88.0,402.0,42.0,15.0,0.0,17.0,32.0,44.0,25.0,0.0,0.219,0.278,0.383
38,3884,Randal Grichuk,StL,,,,,,,,1,,94.0,394.0,55.0,20.0,3.0,15.0,38.0,45.0,18.0,6.0,0.239,0.279,0.419
39,3933,Kevin Kiermaier,TB,,,,,,,1,1,,117.0,446.0,64.0,19.0,12.0,10.0,41.0,39.0,31.0,13.0,0.262,0.315,0.426
40,653,Juan Uribe,LAD,,,,1,,,,,,102.0,377.0,36.0,20.0,0.0,9.0,29.0,45.0,20.0,2.0,0.271,0.309,0.395
41,2001,Travis Snider,Bal,,,,,,1,,1,,93.0,360.0,48.0,17.0,2.0,14.0,33.0,47.0,38.0,2.0,0.258,0.329,0.433
42,2472,Jason Castro,Hou,1,,,,,,,,,79.0,327.0,36.0,19.0,1.0,10.0,30.0,38.0,30.0,1.0,0.242,0.312,0.398
43,404,A.J. Pierzynski,Atl,1,,,,,,,,,84.0,333.0,31.0,12.0,1.0,10.0,23.0,40.0,12.0,0.0,0.252,0.286,0.384
44,2210,Drew Stubbs,Col,,,,,,,1,,,96.0,390.0,60.0,17.0,3.0,12.0,32.0,38.0,33.0,19.0,0.246,0.305,0.397
45,2783,Domonic Brown*,Phi,,,,,,1,,,,117.0,462.0,53.0,23.0,2.0,14.0,39.0,64.0,36.0,7.0,0.253,0.306,0.403
46,2383,Alex Avila,Det,1,,,,,,,,,75.0,343.0,39.0,18.0,0.0,10.0,28.0,41.0,50.0,0.0,0.219,0.32,0.359
47,967,Dioner Navarro,Tor,1,,,,,,,,1.0,80.0,289.0,27.0,14.0,0.0,9.0,23.0,40.0,21.0,1.0,0.277,0.324,0.419
48,1933,Matt Joyce,LAA,,,,,,1,,,1.0,107.0,444.0,57.0,23.0,2.0,14.0,39.0,52.0,60.0,4.0,0.241,0.332,0.396
49,4234,Christian Bethancourt,Atl,1,,,,,,,,,91.0,362.0,32.0,14.0,0.0,6.0,20.0,39.0,11.0,8.0,0.251,0.274,0.34
